language,model,toxicity_orig,toxicity,toxicity_reduction,similarity,fluency,total_samples,samples_masked
ar,Unsupervised (Mask+Fill),0.9950082008953044,0.9950082008953044,0.0,0.9795722458799417,-2.259729925501952,453,0
de,Unsupervised (Mask+Fill),0.9829525732580805,0.9581279100754314,0.024824663182649087,0.9661423271352595,-5.266624961116097,440,91
uk,Unsupervised (Mask+Fill),0.8694888074448681,0.8694888074448681,0.0,0.9627184757590294,-3.0886625772714615,400,0
zh,Unsupervised (Mask+Fill),0.9714941372734929,0.9714941372734929,0.0,0.9548745345593688,-3.662464567253417,401,0
