language,model,toxicity,similarity,fluency
ar,Duplicate,0.9950082008953044,0.9765732576515501,-2.259729925501952
ar,Delete,0.9950082008953044,0.9770310681650444,-2.2463414725615225
de,Duplicate,0.9829525732580805,0.9682762602513487,-5.279070365428924
de,Delete,0.9734930961910074,0.9671309262514114,-5.243883591890335
uk,Duplicate,0.8694888074448681,0.9733508983254433,-3.0886625772714615
uk,Delete,0.8694888074448681,0.9736245854198933,-3.0830353182554244
zh,Duplicate,0.9714941372734929,0.9548745357484889,-3.662464567253417
zh,Delete,0.9714941372734929,0.9548745357484889,-3.662464567253417
