language,model,toxicity_orig,toxicity,toxicity_reduction,similarity,fluency,total_samples,samples_masked
en,Unsupervised (Mask+Fill),0.9894203234324,0.37846458229971225,0.6109557411326878,0.9484175597595064,-5.272687784093895,302,265
ru,Unsupervised (Mask+Fill),0.8550326908473874,0.8550326908473874,0.0,0.9451825647898342,-2.84986872387969,368,0
es,Unsupervised (Mask+Fill),0.9674169940333813,0.7708047596833203,0.19661223435006103,0.9360654448270798,-5.4304705033302305,500,305
am,Unsupervised (Mask+Fill),0.9982398691291581,0.9982398691291581,0.0,0.9825382991703209,-2.7982768279587673,501,0
